Good performer;Good performer;Bad performer;Good performer;Good performer;Good performer;Bad performer;Good performer;Bad performer;Good performer;Good performer;Good performer;Good performer;Bad performer;Bad performer;Good performer;Bad performer;Good performer;Good performer;Good performer;Good performer;Good performer;Good performer;Good performer;Bad performer;Bad performer;Bad performer;Good performer;Bad performer;Bad performer;Good performer;Bad performer;Bad performer;Good performer;Bad performer;Good performer;;;;;;;;;;;;;;;;
13,75685;12,65618;11,87049;13,23202;11,97623;12,83061;14,01507;11,43869;16,63552;13,23655;12,898;13,36548;12,34373;16,99866;14,86298;14,82189;15,11256;15,02907;19,49113;15,20762;12,81626;12,56421;15,26869;12,09716;17,962;17,60567;17,00262;14,3232;17,51422;13,63071;13,69886;18,45274;13,83453;11,3568;14,53844;17,75022;13,63245125;15,71687214;+;Good performer_Bad performer;1;1;10,5;12,43;14,054;2,226316517;-1,982352232;-2,935141463;A0A0C4DH24;A0A0C4DH24;Immunoglobulin kappa variable 6-21;IGKV6-21
20,31307;10,41445;20,45382;21,59345;22,38081;20,87972;21,06375;15,07395;20,08771;12,50969;13,9583;13,32344;13,43188;18,27549;14,58362;15,97065;14,96698;11,09289;12,39443;13,49185;13,18002;12,05531;13,2788;13,32362;13,02535;12,46682;20,83599;12,08858;11,68122;17,60118;12,36592;20,76247;19,76304;8,74975;15,41286;11,18916;14,31313083;17,21287857;+;Good performer_Bad performer;2;2;3,8;92,853;3,1155;1,665515789;-2,982890086;-2,408199308;P48764;P48764;Sodium/hydrogen exchanger 3;SLC9A3
18,5016;12,46989;10,75562;13,01147;13,1349;13,10645;12,50847;14,13816;13,62645;15,2277;14,61913;20,0347;17,59609;11,72503;19,61229;20,13959;17,6967;20,08641;20,15277;10,87604;13,35336;11,65223;12,67691;22,26628;13,93478;11,9542;13,17768;20,22964;16,43052;11,59166;13,04097;12,20937;14,81434;19,5841;13,84997;16,99137;15,98312833;13,84907714;;;3;3;1,1;453,66;3,8882;1,278794468;2,191366487;2,008135945;Q99996;Q99996;A-kinase anchor protein 9;AKAP9
9,914558;17,78027;17,80782;19,62893;16,07617;15,43178;10,77783;18,21817;19,15128;15,35266;18,92865;13,02536;19,37373;19,66331;14,6383;15,05157;13,26117;18,36611;16,26422;20,72692;17,36179;18,99645;18,04666;16,709;14,83477;11,75692;15,49457;12,86746;15,66547;13,02781;15,11512;18,0981;13,1785;17,32025;14,33674;17,35724;16,72041033;15,12089929;;;62;2;40,3;192,75;323,31;1,091101937;1,602421494;1,797907549;P0C0L5;P0C0L5;"Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain";C4B
23,50616;22,62836;19,85195;18,65379;16,77854;22,22803;18,71028;20,77298;18,5425;16,68839;17,35759;20,88815;23,86467;19,05796;17,6048;18,58934;19,631;23,60252;25,01282;22,30633;25,05751;26,09027;22,16757;24,25587;26,43562;19,18597;25,36105;23,47346;18,94447;20,42183;18,46905;24,60631;17,35802;21,13702;15,80647;20,92629;20,87681542;20,108445;;;99;98;24,3;515,6;323,31;0,809225099;1,45767833;1,453846061;"P04114;Q9UKQ2";P04114;"Apolipoprotein B-100;Apolipoprotein B-48";APOB
21,05947;11,42333;17,73628;12,008;12,81028;14,26173;12,81245;18,23037;14,21489;13,29443;17,49599;14,18033;11,97122;18,27016;15,41466;18,85881;19,94464;17,30715;18,99893;17,75929;19,73797;20,41658;20,33636;20,56188;20,80892;14,13691;19,4103;19,69676;11,90482;13,85299;19,17981;16,54757;13,08421;16,09669;12,89642;23,16114;16,99396417;15,78823;;;11;11;16,5;117,85;186,04;0,682166916;1,432065505;1,283807572;P22314;P22314;Ubiquitin-like modifier-activating enzyme 1;UBA1
15,26129;20,86469;16,16271;15,86583;16,01963;17,26783;13,95231;15,06739;13,18421;14,50431;15,44837;15,46429;13,44027;16,66442;13,31602;17,3745;13,00837;20,48522;15,05778;18,42353;16,49636;17,73826;12,98622;18,90877;14,61569;11,38973;17,21854;11,63978;13,36099;12,52612;17,0396;18,78781;13,14951;13,37139;15,57039;11,42476;15,68189458;14,49334429;;;13;13;10,5;501,31;45,184;1,057931546;1,422569201;1,75936657;P08519;P08519;Apolipoprotein(a);LPA
16,5506;12,04344;11,92186;12,72751;13,27528;13,88803;16,03933;15,08945;10,46313;13,1077;14,69497;13,5377;18,05986;11,59835;15,23978;15,35504;13,98615;16,72321;16,88846;12,2904;17,439;17,33638;16,17516;16,27318;17,89989;11,6195;11,74893;14,87628;12,29015;13,10226;14,20611;18,38343;13,84825;16,72614;14,18876;15,93551;15,61320375;13,73784071;;;4;4;7,9;75,51;58,326;1,269144202;1,40758772;1,997624089;P05160;P05160;Coagulation factor XIII B chain;F13B
19,99438;15,9032;17,89629;17,89753;16,46418;18,18316;11,48988;22,69738;21,09449;20,75874;14,64448;12,97071;13,48433;12,93403;14,71699;15,60631;15,12617;16,06382;14,544;14,08721;15,28836;15,57459;13,36153;19,50533;13,34651;11,06334;17,08275;17,89888;11,83013;15,96729;17,46356;12,72059;18,40624;17,84083;19,98663;16,32894;17,36612292;15,26152357;;;2;2;1,4;175,79;3,84;0,806189399;1,400359426;1,44990885;Q8WWZ4;Q8WWZ4;ATP-binding cassette sub-family A member 10;ABCA10
23,39689;23,08406;23,47643;24,46332;23,77404;24,62829;23,72972;23,44733;22,10882;25,11275;24,27135;23,71419;21,40369;21,75075;20,68902;20,60286;23,52719;22,28743;20,16325;19,94006;21,44131;20,36784;20,2903;18,81984;18,37785;19,79462;18,70941;18,62785;14,03222;19,29354;22,54519;17,26481;20,95098;18,85508;23,99981;19,7796;21,582505;20,55036929;;;1;1;10;11,284;73,084;0,918235651;1,31401937;1,591666218;P81605;P81605;"Dermcidin;Survival-promoting peptide;DCD-1";DCD
23,21645;22,61201;17,76552;20,51951;21,5295;21,67556;19,61863;19,48544;21,3038;18,4818;23,66958;24,8457;25,3966;25,49485;20,28647;23,31008;22,76612;24,39054;24,13375;23,52301;26,54371;26,70491;22,90724;25,29915;25,09023;21,38216;23,96023;22,37178;19,67552;18,83661;19,24797;25,55054;22,84464;24,85424;19,62307;21,54708;22,36380125;21,72845643;;;13;12;35;45,205;187,08;0,899721367;1,283616958;1,568723835;P00738;P00738;"Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain";HP
17,49576;10,93391;14,21234;14,42272;12,16603;12,84305;15,43756;13,58379;13,59461;15,23281;13,88883;15,21348;17,25534;12,46432;17,67121;19,29945;16,68209;13,52772;15,84733;17,46204;19,47732;19,4816;18,06039;18,41584;12,53762;12,81556;11,95191;12,17243;13,98308;13,38724;12,16168;14,69952;13,80502;11,58684;13,59167;16,04286;15,59233417;14,05955357;;;15;1;54,1;41,792;323,31;0,859740777;1,239138869;1,518549504;P63261;P63261;"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed";ACTG1
19,59905;12,15716;13,55647;16,00024;13,78241;16,07062;13,40354;15,98773;13,40075;18,8224;18,75107;14,14232;14,02219;13,44708;14,70895;14,99951;13,25111;13,96767;15,72688;18,01748;16,81803;13,63322;19,92665;12,46271;18,37276;17,16624;11,91866;16,4857;11,06843;13,55112;12,8858;16,52345;17,43388;15,80353;13,50703;13,10839;15,43340833;14,37924786;;;4;4;19,7;33,775;80,24;0,903389918;1,219425084;1,573284174;Q14894;Q14894;Ketimine reductase mu-crystallin;CRYM
17,07859;11,49727;13,15155;13,64318;13,49267;16,02501;16,36093;12,64866;13,37234;13,61552;12,63155;17,05038;18,57917;17,33263;19,06581;20,53649;18,05011;12,27674;19,295;16,93192;20,35649;20,16582;18,96494;19,48154;18,77764;15,32418;14,26956;12,94837;11,28949;12,34772;13,34821;10,37385;12,41974;12,11013;14,69271;18,91301;16,28396667;14,77344714;;;15;1;54,1;41,736;323,31;0,595483112;1,207945557;1,160785201;"P60709;Q6S8J3;A5A3E0;P0CG38;Q9BYX7;P0CG39";P60709;"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed";ACTB
20,87613;20,30408;16,31239;16,97298;15,13895;19,40947;14,15853;10,98084;12,94651;19,61227;11,7402;19,60861;18,37852;20,55852;18,20213;14,34191;16,66692;18,54601;19,56192;15,42118;21,04634;21,16429;19,65664;20,9805;20,13295;11,77745;20,95985;20,71373;17,17758;17,73225;12,46181;18,80341;19,97043;17,72973;12,02818;24,46432;17,79262792;16,95907857;;;3;3;14,6;29,246;27,732;0,510194394;1,182304933;1,033010543;P00918;P00918;Carbonic anhydrase 2;CA2
18,64294;21,06848;17,43795;20,89504;21,07731;18,34685;10,81188;21,8383;20,89837;13,95632;21,68885;12,56808;18,73592;17,25985;14,70421;13,79554;18,49915;18,99695;18,71381;18,0093;13,56878;12,88593;13,80224;17,48942;18,81591;18,96152;19,35111;19,87584;17,68927;12,72727;14,5766;17,484;13,17944;19,85447;12,48655;17,4;17,80362625;16,45046286;;;5;3;17,9;23,602;78,645;0,562860276;1,176218076;1,112765948;P19652;P19652;Alpha-1-acid glycoprotein 2;ORM2
11,08146;15,72483;18,6044;19,1491;16,67687;17,45193;19,34247;18,44734;12,1431;19,75003;19,742;19,7124;19,61612;19,60715;14,56631;18,48074;19,76723;19,20891;19,10408;19,16578;19,28487;11,87572;19,21653;18,35729;19,2622;19,30806;17,10472;18,94758;17,47318;14,78382;12,62005;10,98377;13,26062;17,20486;13,73835;15,78755;17,19970833;16,42467;;;4;4;18,1;46,324;240,64;0,61939433;1,148331072;1,195358802;"P05543;CON__Q9TT36";P05543;Thyroxine-binding globulin;SERPINA7
23,18811;12,22151;12,71506;21,47398;15,3835;22,41183;20,04473;22,70174;15,64428;13,09348;13,90654;13,00964;14,47631;11,80335;15,19895;15,16114;15,37662;16,4645;18,78433;18,64888;20,44233;19,64995;18,5386;18,7197;12,65285;13,33148;18,32276;20,31219;16,92845;21,30814;22,61679;16,16174;21,51196;13,21364;25,26807;21,30441;17,74337583;16,87631714;;;5;5;1,5;426,74;8,1208;0,403008509;1,111097323;0,860835382;"P11532;REV__Q15678";P11532;Dystrophin;DMD
16,61454;14,57678;16,47164;16,37626;11,73918;16,62228;13,35073;18,65382;12,51519;15,05896;12,88891;13,79621;15,04787;12,00033;15,39756;15,33108;12,37752;13,2585;17,51399;15,48388;14,38127;16,57283;12,14855;15,56332;16,17229;14,13017;12,74927;18,46969;16,63098;12,53003;14,04662;19,22452;12,7384;18,59813;14,13995;16,27658;15,72617292;14,31632714;;;1;1;16,2;10,852;323,31;0,895886513;1,093639504;1,563949081;P02656;P02656;Apolipoprotein C-III;APOC3
21,70443;20,83838;16,04356;18,00843;12,94887;20,09648;11,48344;13,29735;15,96405;19,20445;14,60036;17,22515;15,45047;19,79836;17,33149;14,55153;14,05695;19,11634;19,56419;20,4338;22,06943;21,99917;21,31108;21,55918;21,35423;16,15906;21,64364;20,77604;17,51653;19,67807;13,92617;18,56603;21,37962;18,21694;15,95454;24,99071;18,32009542;17,63782643;;;8;8;53,4;22,119;200,53;0,483427778;1,084397669;0,991329136;P30043;P30043;Flavin reductase (NADPH);BLVRB
20,25994;21,71255;18,21807;16,75994;18,51453;19,13385;17,96223;17,63976;18,96246;13,89667;18,719;19,45171;19,09666;19,92309;15,64734;19,14263;14,46432;21,31396;22,15156;21,18598;21,67612;21,76923;21,75205;20,72866;22,22205;20,38543;22,71312;20,46653;17,74406;16,44994;13,29212;22,1931;16,9677;22,18743;15,71027;20,76044;19,7757825;18,54022714;;;22;22;15,3;188,3;323,31;0,654575209;1,078472206;1,245327142;"P01031;CON__Q1A7A4";P01031;"Complement C5;Complement C5 beta chain;Complement C5 alpha chain;C5a anaphylatoxin;Complement C5 alpha chain";C5
19,24811;21,32822;20,42347;20,68475;21,99817;19,31595;21,27338;20,96183;13,57333;21,50373;22,64643;21,38142;21,53084;22,41911;19,29762;21,0357;21,93481;20,70607;18,03268;19,61804;16,04495;16,92764;20,01971;20,01604;19,81273;20,80112;12,51178;17,58974;20,07209;20,75173;18,03987;17,13059;18,37742;16,28005;12,97513;18,30501;19,27497875;18,668165;;;4;4;14,8;49,577;214,03;0,601884093;1,023422997;1,170090731;P04180;P04180;Phosphatidylcholine-sterol acyltransferase;LCAT
18,14241;17,11908;18,30804;16,70104;17,1327;17,64618;19,17689;15,81085;12,45489;14,69227;14,14499;18,79994;13,23968;16,98504;14,06832;19,61193;13,12796;15,31487;17,56026;17,26224;19,86367;18,7531;18,76293;18,6615;18,6781;16,82464;18,28071;17,82376;11,65795;13,30148;13,51501;15,84127;18,73688;17,44766;18,29365;19,15274;16,92248042;16,12398714;;;3;2;7,5;36,688;172,51;0,71517112;1,0195961;1,329066133;"P00338;Q9BYZ2";P00338;L-lactate dehydrogenase A chain;LDHA
16,27458;19,70406;13,94805;14,87877;17,83065;14,19746;11,15707;19,65393;15,72089;14,49036;16,55237;12,82647;14,01937;11,42228;14,90972;13,49683;12,77447;12,37359;18,1708;17,66032;16,79627;11,29023;17,29177;18,84919;17,04463;13,63812;16,88346;17,75009;13,4884;17,51784;14,02139;19,97743;18,22835;19,48158;13,32127;14,72739;16,45509792;15,00228429;;;1;1;22;11,175;74,715;0,594401656;1,013055479;1,159209326;P02652;P02652;"Apolipoprotein A-II;Proapolipoprotein A-II;Truncated apolipoprotein A-II";APOA2
17,68113;19,51701;17,45507;17,96093;17,87484;17,19893;20,55356;19,60417;11,97413;21,29244;20,25454;18,79252;19,16678;19,62637;15,57418;15,95115;18,66025;18,7205;18,4771;18,93526;18,70137;18,33739;19,2386;18,53237;19,1224;19,69693;18,21547;19,55923;15,81578;18,94909;14,1984;19,35499;17,0241;19,0639;13,27589;18,52413;18,85827458;17,52130071;;;4;4;16;45,14;116,13;0,85798016;1,0051847;1,51631951;P08185;P08185;Corticosteroid-binding globulin;SERPINA6
23,32567;21,21614;20,82927;21,17792;17,37789;22,17277;20,55805;18,85358;18,80955;22,50795;19,90042;22,43084;20,46543;21,02945;18,1166;16,9402;19,3651;19,78651;18,24628;18,25022;20,06592;20,25165;17,48833;18,38216;19,42204;13,9249;19,52463;18,08525;13,91513;17,89392;12,74767;15,98678;22,01536;16,242;18,49021;23,09549;18,96110792;18,56292786;;;16;16;32,8;59,755;323,31;0,542699911;0,937539002;1,082574045;P04040;P04040;Catalase;CAT
12,61352;11,89057;11,89215;13,60405;13,62531;11,7739;13,7057;12,94688;12,72431;13,02815;14,39451;12,88184;14,06795;11,32703;16,49741;13,90368;13,33164;10,40788;17,21712;20,45583;16,70819;16,96059;17,51191;17,46873;11,3228;12,56276;14,0981;11,62583;12,37057;18,80401;16,23055;14,48671;14,85848;14,906;12,48208;14,45179;14,32260833;13,60455357;;;3;3;0,5;838,3;3,7406;0,561214348;0,880665525;1,110316186;Q9UPN3;Q9UPN3;Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5;MACF1
12,41846;13,59424;12,74581;13,55102;14,3578;13,0025;11,70224;13,62102;13,32868;12,53391;13,74903;13,18254;13,50595;11,86953;16,21453;14,1554;14,47501;13,21176;16,23388;13,88617;17,78021;17,50951;16,91777;17,55172;11,76151;13,03297;16,7341;12,711;12,812;12,37593;13,67842;13,4971;16,35839;13,49248;14,2807;18,98318;14,56429625;13,65632143;;;5;5;34;21,635;16,161;0,736442173;0,872221971;1,35781221;"P00568;Q9Y6K8";P00568;Adenylate kinase isoenzyme 1;AK1
20,17719;19,28965;19,23683;18,38068;19,69777;21,563;19,19689;17,37186;20,38953;14,95757;19,24848;21,54741;20,63653;18,90513;18,70131;20,90183;21,08758;19,70078;23,65075;19,32878;22,30766;21,63556;20,51605;20,20204;20,08952;17,90566;16,35946;17,79436;18,71726;18,03805;20,10572;20,20132;19,50215;20,35703;18,61029;19,21904;19,9386925;19,06721286;;;16;16;22,7;94,972;323,31;0,904479522;0,868685543;1,574637274;P02671;P02671;"Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain";FGA
17,402;16,77443;17,73932;19,00796;16,59167;17,55832;19,05173;19,08184;17,26984;19,96944;18,98643;21,45312;20,08615;16,46545;14,55414;13,1794;20,82112;18,15758;13,19186;11,48073;12,65602;12,84967;12,34215;13,49897;11,79356;12,95383;13,49202;12,66066;13,01287;11,49296;14,37498;14,22287;12,45432;12,07847;13,55768;13,6912;16,13487708;14,92012214;;;14;14;35,6;57,709;323,31;0,378527189;0,855924229;0,819363989;"P19961;P04745;P04746;CON__Q3MHH8";"P19961;P04745;P04746";"Alpha-amylase 2B;Alpha-amylase 1;Pancreatic alpha-amylase";"AMY2B;AMY1A;AMY2A"
17,40806;15,13875;19,4904;19,07681;18,39573;19,26659;22,18746;19,24179;15,7851;20,082;12,60293;22,06385;20,37698;21,12237;18,80606;18,85836;20,88032;21,51321;14,41275;13,67348;14,29638;12,10188;13,02254;14,08098;12,91678;11,98486;11,91838;14,18107;12,71501;13,32505;12,94455;11,04495;12,8389;13,68934;13,70781;15,878;16,19073375;15,62310357;;;3;3;14,8;19,25;10,171;0,312878472;0,845353894;0,70348522;"P31025;Q5VSP4";"P31025;Q5VSP4";"Lipocalin-1;Putative lipocalin 1-like protein 1";"LCN1;LCN1P1"
15,92277;12,84577;11,55431;15,00277;12,03611;15,95351;14,93884;15,60707;12,60143;13,13579;13,44995;13,65723;19,17806;17,02886;15,34437;14,53187;16,34209;17,61597;19,852;17,23603;18,60722;19,55609;14,81888;18,68281;18,01672;12,23762;18,35087;19,09836;18,24646;12,38009;13,67508;19,79141;13,3397;14,21758;12,88089;17,84525;16,48768708;15,21811857;;;5;5;18,8;25,387;224,38;0,434743541;0,805798976;0,913332363;P02743;P02743;"Serum amyloid P-component;Serum amyloid P-component(1-203)";APCS
25,82929;26,20918;24,8597;24,68581;25,10041;25,2701;21,74661;24,4693;25,06489;21,58916;24,71905;25,18295;25,07924;25,47197;25,45488;24,75353;25,21163;25,68223;26,19562;26,02945;25,84285;25,87584;26,03343;27,02073;26,84362;24,35501;26,44613;26,93944;25,35006;25,46924;23,94414;26,74175;24,83586;27,11793;17,12948;26,11434;24,99166833;24,64148786;;;51;45;45,4;163,29;323,31;0,689257277;0,798694363;1,293599815;P01023;P01023;Alpha-2-macroglobulin;A2M
20,11782;16,68921;19,29455;19,79133;18,18287;18,07817;12,35321;17,67066;20,3721;20,05801;17,24386;12,84191;18,96149;19,62194;14,80525;14,81006;12,89981;20,26556;20,48738;20,59377;21,15524;20,86808;20,46951;20,97876;19,23138;19,92725;20,26052;19,62911;20,24307;18,71766;12,55497;21,94796;17,90589;20,51278;12,55495;18,40145;18,26270583;17,86682429;;;5;5;22,2;38,999;92,101;0,375068198;0,785995019;0,813432458;P02760;P02760;"Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin";AMBP
18,72717;11,93541;11,80756;12,93837;13,19582;17,32307;12,40737;11,72749;23,05321;13,97147;15,19247;13,62845;14,75268;12,25259;14,60633;15,07937;12,8287;11,80476;18,18587;16,77353;19,04436;19,15704;19,16798;18,64804;18,89445;17,63304;17,48762;17,05759;12,193;13,37811;12,96801;15,96488;13,33885;15,63948;13,05642;18,14016;15,40613042;14,92158071;;;7;7;8,8;123,8;22,954;0,349375339;0,762901591;0,768788512;P18206;P18206;Vinculin;VCL
18,96231;18,13831;16,81165;12,56002;20,58197;14,28434;11,59383;18,02074;12,67118;12,34427;17,88047;13,48193;16,95094;15,89126;15,48424;15,08117;13,27233;13,92836;11,35527;17,49178;13,30509;11,07208;16,49093;18,29334;15,20365;11,66461;16,76591;12,5275;13,09765;12,70382;12,99749;15,87419;13,01299;11,20644;14,46737;11,65117;15,08257833;14,17962;;;4;4;11;71,607;35,022;0,403540519;0,75701277;0,861726941;P43121;P43121;Cell surface glycoprotein MUC18;MCAM
18,95708;12,00637;12,06426;13,77915;12,02032;13,31674;19,05173;15,40335;17,57983;16,68798;11,3163;13,61546;16,21955;17,46937;15,96303;15,82596;14,14528;19,17685;17,69656;17,69302;20,42992;20,28918;20,27481;19,61678;19,23405;14,20159;16,67287;16,08111;12,95203;13,17775;13,06543;19,08556;13,86346;18,0912;13,79276;19,51322;16,41750417;15,66096929;;;3;3;21,9;23,356;323,31;0,356134509;0,751591193;0,780635344;P09211;P09211;Glutathione S-transferase P;GSTP1
18,28247;12,98292;12,66667;11,93955;14,29634;18,06434;16,50629;16,91718;11,94555;16,47188;13,57093;13,42543;16,86967;16,80373;14,20097;14,61952;15,04885;17,4525;15,74389;15,66486;17,39515;17,41658;11,86876;13,81211;17,11573;11,8814;12,00158;13,65087;13,61103;13,41623;14,72077;15,09824;14,12431;12,38627;13,99208;10,72178;14,83143625;14,17233286;;;5;5;12,8;48,424;18,442;0,527201993;0,749202933;1,059082865;Q96IY4;Q96IY4;Carboxypeptidase B2;CPB2
